Aex,Ku,B_anis,A,Msat,W,rmse_J_on_mean,rmse_J_on_std,rmse_J_off_mean,rmse_J_off_std,err_pos_mean,err_pos_std,err_maxvel_mean,err_maxvel_std,err_mean_mean,err_mean_std,err_conf_95
11e-12,1.11e+6,0.34203552627689926,0.01,1.2e+6,100e-9,0.02072982473427637,0.021803881137258386,0.0203353541136948,0.016459498420099358,0.008598486406654593,0.00647979224023946,0.004335784513504326,0.002056298321907508,0.013499862442032523,0.010891479523850472,0.020250471389385447
11e-12,1.11e+6,0.34203552627689926,0.01,1.2e+6,50e-9,0.007478559139607736,0.004517166390674453,0.010171432651245255,0.005525153814725547,0.012128885528777323,0.007495012818776339,0.0026393382626367368,0.0024634039934516,0.008104553895566764,0.004609897476396683,0.010961797953400824
11e-12,1.11e+6,0.34203552627689926,0.05,1.2e+6,100e-9,0.028503188592005284,0.013848597914381058,0.01602684169552972,0.00759427225925739,0.005144096430164136,0.004157162791898735,0.03450310609363298,0.003518135776280174,0.021044308202833033,0.006588443727089569,0.025127867931869594
11e-12,1.11e+6,0.34203552627689926,0.05,1.2e+6,50e-9,0.00786299251222082,0.004109072976234783,0.007518608640078725,0.005067938604505429,0.00976718067152047,0.008498097543812977,0.0010010094465515262,0.0003688788147058744,0.006537447817592886,0.0042505472458326645,0.009171964294994311
11e-12,4.05e+5,0.019841460686747636,0.01,7.95e+5,100e-9,0.012693376146785094,0.005582184455462437,0.03732144923784585,0.024489850365724434,0.04507103980663357,0.029505327245346182,0.021327993708801552,0.01242922717190909,0.029103464725016515,0.012709190553436549,0.036980702640743775
11e-12,4.05e+5,0.019841460686747636,0.01,7.95e+5,50e-9,0.01394662166347874,0.008271344961533417,0.054922517668969995,0.02819864414039348,0.06491673281063307,0.03180775712695135,0.011325565521832504,0.005618979909338984,0.036277859416228575,0.014271738221169788,0.04512357441014955
11e-12,4.05e+5,0.019841460686747636,0.05,7.95e+5,100e-9,0.005961010611734132,0.002013490256263312,0.009412540657749739,0.00815379702185443,0.011574032939710654,0.008895648706862871,0.007430780280665905,0.004733516199360808,0.008594591122465108,0.003954761081708202,0.011045777435982987
11e-12,4.05e+5,0.019841460686747636,0.05,7.95e+5,50e-9,0.0027648922076310913,0.0012099117976595768,0.008532062181521667,0.0026676154101591167,0.006081700255484013,0.0039306603886927185,0.0006974599051461583,0.0004998744820035027,0.004519028637445732,0.0015482713678784891,0.005478657173315747
11e-12,5.36e+5,0.3494012091144205,0.01,7.95e+5,100e-9,0.005427746088508148,0.003153797354975198,0.008795551690813757,0.00433020895208386,0.009637698236165792,0.005311070606109503,0.002993727859388873,0.0019499393568033162,0.006713680968719144,0.002889876866281602,0.008504845207475567
11e-12,5.36e+5,0.3494012091144205,0.01,7.95e+5,50e-9,0.004718872512095163,0.002736481478312307,0.011686708987224487,0.006922055774560494,0.013388596701811795,0.00787156111553403,0.0020773040114670737,0.000996973746633557,0.00796787055314963,0.0036369832580289674,0.010222096130974826
11e-12,5.36e+5,0.3494012091144205,0.05,7.95e+5,100e-9,0.003373084733521986,0.0010853771109655378,0.008604947993116858,0.003668913096908218,0.007092632913584873,0.0042668760085585065,0.000596107216055064,0.0004136047911131602,0.004916693214069694,0.0022383794244561907,0.006304055154861613
11e-12,5.36e+5,0.3494012091144205,0.05,7.95e+5,50e-9,0.008444829160318175,0.0008274921006265172,0.019961639303265104,0.00052849880941368,0.018408627763886864,0.001141784472677143,0.0002467862856345149,0.00017802738145089602,0.011765470628276164,0.00032654445821553757,0.011967864980348453
11e-12,9.17e+5,0.020368859610232493,0.01,1.2e+6,100e-9,0.011458312663377292,0.00627711340526655,0.03230769185343988,0.015119553228706888,0.040960890178336984,0.020045164861526202,0.013489114979693517,0.00675299746572957,0.024554002418711918,0.008059113169911708,0.029549092512156108
11e-12,9.17e+5,0.020368859610232493,0.01,1.2e+6,50e-9,0.010858857191257716,0.00590781308553013,0.036196107515081774,0.02161355132938964,0.04267744026554623,0.025023510302181157,0.004307614315231878,0.00200930760025682,0.0235100048217794,0.010877008435011042,0.030251644495345092
11e-12,9.17e+5,0.020368859610232493,0.05,1.2e+6,100e-9,0.00996122086130279,0.003588424910445164,0.011668153012429957,0.006788753267447624,0.015396816023561388,0.010442035171077495,0.015926640197400366,0.00310332423439024,0.013238207523673625,0.004016182808280812,0.015727463417734254
11e-12,9.17e+5,0.020368859610232493,0.05,1.2e+6,50e-9,0.004242044567354429,0.0013455536969116104,0.004644630785124585,0.002858084286964789,0.0058656803440153005,0.004971514867851936,0.0003031242888821728,0.0002217194594977915,0.0037638699963441226,0.0019694283660880367,0.004984534344119017
31e-12,1.11e+6,0.34203552627689926,0.01,1.2e+6,100e-9,0.010523533722398223,0.007687883616448707,0.017492662531997986,0.008499492150382317,0.020509109278269266,0.01144085568592386,0.005737137170214646,0.0026654778408055587,0.01356561067572003,0.006668388479100132,0.01769872067540941
31e-12,1.11e+6,0.34203552627689926,0.01,1.2e+6,50e-9,0.009551329980233045,0.003898367992215118,0.023840393523724364,0.015651071635005814,0.028158114225696453,0.018059712778409367,0.005697762526404959,0.0026440944605174823,0.016811900064014704,0.008077422036845156,0.021818338110752677
31e-12,1.11e+6,0.34203552627689926,0.05,1.2e+6,100e-9,0.012488754048688159,0.005424633056251384,0.010771699798843206,0.005829763747443637,0.012956234770941589,0.010134172653002264,0.016068997753798296,0.0014116768897556664,0.013071421593067812,0.004976951513687712,0.01615616810021308
31e-12,1.11e+6,0.34203552627689926,0.05,1.2e+6,50e-9,0.003973128719735453,0.0011898212890140414,0.0036783637224040155,0.0021356740263544596,0.004532415650952059,0.003992373036222452,0.0002217769521482671,8.955332973527996e-05,0.0031014212613099485,0.0015846583552429632,0.004083602685603611
31e-12,4.05e+5,0.019841460686747636,0.01,7.95e+5,100e-9,0.016844336365125077,0.011005710406317874,0.08599860274611563,0.04846197939021619,0.09825103236624178,0.06956311763252436,0.03712280165857751,0.022975007527832384,0.05955419328401501,0.028414517163031016,0.07716569348244331
31e-12,4.05e+5,0.019841460686747636,0.01,7.95e+5,50e-9,0.02654249106600668,0.010674219312260287,0.10539542791075258,0.06633056235304399,0.12503485950974383,0.07611787489556739,0.020508057632699205,0.01094536655316241,0.06937020902980057,0.037091558023911966,0.09235979487249235
31e-12,4.05e+5,0.019841460686747636,0.05,7.95e+5,100e-9,0.007937109859827698,0.0031375687392202626,0.015888108554164237,0.012457099078901749,0.02058095225618147,0.014455664292657126,0.006383508301627627,0.004326195721622008,0.012697419742950258,0.006123528486050732,0.01649282202018747
31e-12,4.05e+5,0.019841460686747636,0.05,7.95e+5,50e-9,0.003081373440161398,0.0013558511297593048,0.007577309191300487,0.003354117757238293,0.0052593085340526535,0.004671435160478884,0.0005906336835330928,0.000398269851110086,0.004127156212261908,0.0020177030110302965,0.005377741494962481
31e-12,5.36e+5,0.3494012091144205,0.01,7.95e+5,100e-9,0.008802423885589817,0.004533074743282855,0.020842459780196644,0.008731361648488018,0.02394475923792998,0.010997758201729463,0.008652664868163984,0.0050217094693048945,0.015560576942970106,0.004985263786704007,0.018650475450307243
31e-12,5.36e+5,0.3494012091144205,0.01,7.95e+5,50e-9,0.00922782963545821,0.00591829928221739,0.030153240276747123,0.01589826648061914,0.03456989657203528,0.01833779736966714,0.003037862249135881,0.0018090356712673666,0.019247207183344127,0.007941122673191126,0.024169166009257552
31e-12,5.36e+5,0.3494012091144205,0.05,7.95e+5,100e-9,0.0032322199867842,0.0009192885009180417,0.004712417630186143,0.003688971249894681,0.004793392479397229,0.003987074725956673,0.0014931009524751238,0.0009565068426454604,0.0035577827622106733,0.0018122587217788767,0.004681032355194696
31e-12,5.36e+5,0.3494012091144205,0.05,7.95e+5,50e-9,0.005258478486274601,0.0020791633525335637,0.013568793523627378,0.0013419003203121252,0.011977342422712233,0.0004909868863575908,0.00018675070194412724,0.0001475993585499277,0.007747841283639587,0.0008824816866313107,0.0082948090997754
31e-12,9.17e+5,0.020368859610232493,0.01,1.2e+6,100e-9,0.02163410527724349,0.00828860147552607,0.07700697631089581,0.04589852934222736,0.09480079271960604,0.056159695917513776,0.017199254474034465,0.00910622458116808,0.052660282195444955,0.025074161744994383,0.06820140865603924
31e-12,9.17e+5,0.020368859610232493,0.01,1.2e+6,50e-9,0.016792027443292522,0.009553580502598798,0.05741340770866058,0.04288525181919098,0.06580106103798564,0.04772453374484403,0.009733396353557832,0.003951972709994019,0.03743497313587414,0.023563113441981937,0.05203954215522631
31e-12,9.17e+5,0.020368859610232493,0.05,1.2e+6,100e-9,0.010268259561344925,0.0034510738949529943,0.015006051351492317,0.007917261117579677,0.019469242122154506,0.013233291866935845,0.007577978862476686,0.0012070553372830965,0.013080382974367111,0.00529597213024001,0.016362860508208246
31e-12,9.17e+5,0.020368859610232493,0.05,1.2e+6,50e-9,0.0026151300762929583,0.0006853465842334876,0.005425015529621924,0.0022059833824482245,0.005358750775550825,0.0036930546691337366,0.00010150058668604301,7.083911242072471e-05,0.0033750992420379378,0.0013132792444393395,0.00418907815082359
